"name1","name2","street1","street2","city","state","zip","zip4","county","phone","website","latitude","longitude","type_facility","sa","dt","mm","dm","bum","db","rpn","bu","nxn","vtrl","meth","hh","noop","pain","nmoa","moa","ubn","otp","cbt","dbt","tele","saca","trc","smon","smpd","smop","hi","res","op","rs","rl","rd","od","omb","odt","iop","ort","hid","hit","ct","gh","psyh","vamc","tbg","ihs","stg","lccg","dod","ssa","stmh","stdh","hla","jc","carf","ncqa","coa","hfap","np","cash","md","mc","si","pi","tricare","fsa","ss","pa","asl","sp","mhsu","vet","admil","milf","cj","sen","adol","pw","wn","mn","hiv","trma","sexa","dv","ya","nsc","adtx","bdtx","cdtx","mdtx","odtx","tgd","ico","gco","fco","mco","twfa","bia","cmi","mi","ang","mxm","crv","relp","beds","ch_ad","yad","adlt","fem","male","dui","duio","acc","acm","acu","baba","ccc","cmha","csaa","daut","dp","dsf","dvfp","eis_hiv","emp","haec","heoh","hivt","isc","itu","mhs","opc","sae","shg","smhd","ssu","ssd","stdt","ta","taec","tbs","cm","fpsy","hs","nrt","peer","stu","tcc","bsdm","nu","mu","bwn","bwon","ub","un","beri","pvtp","pvtn","cosmi","inpe","rpe","pc","naut","nmaut","acma","pmat","auinpe","aurpe","aupc","dlc","mhiv","mhcv","lfxd","clnd","copsu","daof","mst","noe","ofd","rc","piec","mdet","voc","hav","hbv","audo","mmd","mprep","fed","sotp","dea","samhsa","mhpa","hbt","hct","tod","vapn","vapp","vppd","oudo","nx","oth","mws","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n24","n40","cosed"
"Inland Behavioral and Health Services","","1963 North E Street","","San Bernardino","CA","92405","3919","San Bernardino","909-881-6146","https://www.ibhealth.org","34.133163","-117.2937911","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","","1","","","1","","","","","","","1","1","","","","","","","","","","","","1","","","","1","","","","","","1","1","","","","","1","","","1","1","","","","","","","1","1","1","","","","","","","","","","","","","","1","1","1","1","1","1","","1","1","1","","1","","1","1","1","1","1","1","","1","","","","1","","1","1","1","","1","","1","1","1","1","1","","1","1","1","1","1","1","1","","1","1","1","1","","1","","1","1","1","","","","","","","","","","1","","1","1","1","","","1","","1","1","1","","","","","","","1","","1","1","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Providence Little Company of","Mary Recovery/San Pedro","1386 West 7th Street","Building C","San Pedro","CA","90732","3505","Los Angeles","310-241-4021","https://www.providence.org/locations/plcm-san-pedro/recovery-center","33.7380319","-118.3076375","SU","1","1","","","1","1","1","1","1","1","","","","","","1","","","1","","","1","1","","1","","1","","","","","","","","","","","1","1","","","","","","","","","","","","1","1","1","","","","","","1","","1","","1","1","","","","1","","1","1","1","1","1","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","","1","1","1","1","1","1","1","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","1","1","","1","1","1","","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","1","1","","1","","1","","1","","","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","","1","1","","1","","","","","","1","1","1","1","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Coastwise Recovery Center","","1366 West 7th Street","","San Pedro","CA","90732","","Los Angeles","424-536-3002","https://www.coastwisehealth.com","33.7381415","-118.3070904","SU","1","","","","","","","1","1","","","","","","","1","","","1","","","1","1","","1","","","","1","","","","","1","1","1","1","","","","","","","","","","","","1","","1","","1","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","1","","","","","","1","1","1","1","1","1","1","","","","","1","","1","","1","","","","1","","1","","","1","","1","","1","","1","","","","1","1","","1","","","","","","","","","","","1","","1","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1"
"Safe Refuge","","3125 East 7th Street","","Long Beach","CA","90804","","Los Angeles","562-987-5722 x103","https://www.asaferefuge.org","33.7756478","-118.1550792","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","1","","","1","1","1","1","","","","1","1","1","","","","","","","","","","","","1","","","","","1","","","","","1","1","","1","","1","","1","","","","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","","","","","","","","1","1","1","","1","","1","1","1","","1","1","","","1","1","1","1","","","","","","1","","1","1","1","","","","","","1","1","","1","","","1","1","1","1","1","1","","1","1","","1","","1","","1","1","","","","","","","","","","","1","","","1","1","","","1","","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Twin Town Treatment Centers","Twin Town Los Alamitos","4281 Katella Avenue","Suite 117","Los Alamitos","CA","90720","","Orange","562-594-8844","https://www.twintowntreatmentcenters.com","33.8037804","-118.0583351","SU","1","","","","","","","1","","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","","1","1","1","","","","","","","","","","","","1","","1","","1","","","","","","1","1","","","1","1","","1","","","1","","","","","","","1","","","","","","","","","","","","","","","","1","1","1","","1","1","1","1","","","","1","","1","1","1","1","1","","","1","","","1","","","1","1","1","","","1","","1","1","","1","","","1","1","1","","1","1","","","1","","1","","1","","1","1","1","","","","","","","","","1","","","","1","1","","","1","","1","1","1","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1"
"Veterans Alcoholic Rehab Prog (VARP)","Gibson House for Men","1100 North D Street","","San Bernardino","CA","92410","","San Bernardino","909-884-0840","https://www.varpinc.org","34.1197385","-117.2922389","SU","1","","","","1","","1","1","1","1","","1","","","","1","","","1","","1","1","1","","1","","","1","","1","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","1","","","","","1","","","","1","1","","","","","","","","","1","","1","","","","1","","","","","","","1","1","","","","","","1","1","","","1","","","1","1","","1","","","1","1","","1","","","1","1","1","","","","1","1","1","1","","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","","1","","1","1","","1","","1","1","1","","1","","","","1","","","1","1","1","","1","1","1","1","","1","","","1","1","","","","","1","","","","","","","","","1","1","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Fred Browns Recovery Services Inc","Outpatient","505 South Pacific Avenue","Suite 104","San Pedro","CA","90731","2656","Los Angeles","310-519-8723","https://www.fredbrownrecovery.org","33.7394139","-118.288283","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","1","","1","1","","","","","","","","","","","","1","","1","","","1","","","","","1","","1","1","1","","1","","","","1","1","","","","1","","","","1","1","","1","","","1","1","","","","","","","1","1","1","1","1","1","1","1","1","","1","1","","","1","1","1","1","","","1","","","1","","1","1","1","1","","","","1","","1","","1","","1","1","1","1","1","1","1","","1","","1","1","","1","1","1","1","1","","1","","1","1","1","1","1","","1","1","1","1","1","","","1","1","1","1","1","","","","","","","","","1","1","1","1","","1","","","","","","","1","","","1","","","","","","1","","","1","1","","","","","","","","","","","","","","","","","1","","","",""
"Veterans Alcoholic Rehab Prog (VARP)","Gibson House for Women","1135 North D Street","","San Bernardino","CA","92410","","San Bernardino","909-888-6956","https://www.varpinc.org","34.1200494","-117.291561","SU","1","","","","1","","1","1","1","1","","1","","","","1","","","1","","1","1","1","","1","","","1","","1","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","1","","","","","1","","","","1","1","","","","","","","","1","","","1","","","","1","","","","","","","1","1","","","","","","1","1","","","1","","","1","1","1","","","","1","1","","1","","","1","1","1","","","","1","1","1","1","","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","","1","","1","1","","1","","1","1","1","","1","","","","1","","","1","1","1","","1","1","1","1","","1","","","1","1","","","","","1","","","","","","","","","1","1","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Colusa County","Dept of Behavioral Health","162 East Carson Street","","Colusa","CA","95932","","Colusa","530-458-0520","https://www.countyofcolusa.org","39.205832","-122.006293","SU","1","","","","","","","1","1","1","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","1","","1","1","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","","","","1","1","1","1","1","1","","","","1","","","1","","","","","","","","","","","","","","","1","1","1","","","1","","1","","1","","1","","1","1","","1","1","","","1","","","","1","1","1","1","1","","1","","","1","","","1","","1","1","1","1","1","1","1","","1","","","1","","1","","1","1","1","","1","","1","1","1","1","1","","","1","","1","","","","1","1","","1","","1","","","","1","1","","","1","1","","1","","","","","","1","","","","","1","","","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","1"
"County of San Bernardino","Phoenix SUD Recovery Services","820 East Gilbert Street","","San Bernardino","CA","92415","0928","San Bernardino","909-388-0890","https://wp.sbcounty.gov/dbh/","34.1290792","-117.2697919","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","1","1","","","1","","","","1","","","","","1","","","1","","","","","","","","","","1","","1","","1","","","","","","","","","1","1","","","","1","","","","","1","","","","","","","","1","1","","","","","1","1","","","","","","","1","1","1","","","1","","1","","","","1","","","1","1","1","1","","","1","1","","1","","","1","1","1","1","","","1","1","1","","1","","","1","1","","","1","1","","1","","","1","","1","1","1","1","1","1","1","","1","1","1","1","1","","","","1","1","1","","","1","1","1","1","1","1","","","1","1","","1","","1","1","1","","","","","","","1","","","","","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Inland Valley Recovery Services","San Bernardino Recovery Center","939 North D Street","","San Bernardino","CA","92410","","San Bernardino","909-889-6519","https://www.inlandvalleyrecovery.org","34.1165496","-117.291561","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","","1","1","1","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","","","1","","","1","","","1","1","1","","","","1","1","1","","1","","1","1","1","1","","1","1","","1","1","","1","","1","","1","","1","","","","","","","","","","1","","","","1","","","1","","1","","1","","","","","","1","1","","1","1","1","1","","1","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Anaheim Comprehensive Treatment","Center","1420 North State College Boulevard","","Anaheim","CA","92806","4007","Orange","714-581-9181","https://www.ctcprograms.com/location/santa-ana-comprehensive-treatment-center/","33.8553993","-117.8887979","SU","1","1","1","","1","","","1","","","1","","","","","","","1","1","","1","1","1","1","","","","","1","","","","1","1","","","","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","","","","","","1","","1","1","","","1","1","1","1","1","1","","1","","","1","1","1","1","","","","","","1","","","1","1","1","","","","","1","1","1","","","1","1","1","1","","1","1","","1","1","1","","","1","","1","","","","","1","1","1","1","","","1","","","","","","1","","","","","","","","","","","","1","1","","1","1","","","1","","","","","","","","1","1","","1","","1","","1","","","1","","1","1","","","1","","","","","","","1","","","","","","","1","","","",""
"House of Hope Foundation Inc","","235 West 9th Street","","San Pedro","CA","90731","","Los Angeles","310-521-9209","https://www.houseofhopesp.org","33.7359947825126","-118.282811819693","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","1","","","1","","1","1","","","","","","","","","","","","","","","","","","1","","1","","","1","","","","","1","1","","1","1","","1","1","","","","1","1","","","1","","","","1","","1","1","1","1","1","","","","","","","","1","1","1","1","1","","","1","1","","","1","","","1","1","1","","","","1","","","1","","","1","1","1","","1","","1","1","1","","","","","1","1","1","","1","1","","1","1","","1","","1","","1","","1","","","","","","","","","","1","","","1","1","","","1","","1","1","1","","","","","","","1","","1","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Beacon House Association of San Pedro","","411 West 10th Street","","San Pedro","CA","90731","","Los Angeles","310-514-4940","https://www.thebeaconhouse.org","33.7349954","-118.2858933","SU","1","","","","","","","","","","","","","","","","","","1","","","1","1","","1","","","","1","","","","","","","1","1","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","1","","","1","","","1","1","","","1","","","1","1","","1","","","1","","","1","","1","1","1","1","","","","","1","1","","","","1","1","1","1","1","1","1","","1","1","","1","","1","","1","1","1","","1","","","","","","","","1","","","","","","","","1","","1","","","","","","","","1","","1","1","","","","1","","","","","","","","","","1","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Beacon House Association of San Pedro","Lighthouse","132 West 10th Street","","San Pedro","CA","90731","","Los Angeles","310-514-4940","https://www.thebeaconhouse.org","33.73527","-118.2811888","SU","1","","","","","","","","","","","","","","","1","","","1","","","1","1","","1","","","1","","","1","","","","","","","","","","","","","","","","","","1","","1","","","1","","","","","","1","","","","","1","","1","","","","","","","","","","","","1","","1","","","","","","","","","","","1","1","","","1","1","","1","1","","","1","","","1","1","","1","","","1","","","1","","1","1","1","1","","","","1","1","1","","","","1","1","1","1","1","1","","","1","1","","1","","1","","1","1","1","","","","","","","","","","1","","","","1","","","1","","1","","1","","","","","","","1","","1","1","","","","1","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Found Life","","2211 East Ocean Boulevard","","Long Beach","CA","90803","","Los Angeles","562-434-4060","https://www.newfoundlife.com","33.7643438","-118.1654759","SU","1","","","","","","1","","1","1","","","","","","1","","","1","","1","1","1","","1","","","1","","1","1","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","1","","","","1","","","","","","","1","","","","","","","","1","","","","","","","1","","","","","","","1","1","1","1","1","1","1","1","1","","","1","","","1","1","1","","","","1","1","","","","1","1","1","1","","","","1","","1","","1","","1","1","1","1","1","1","1","","1","","1","1","","1","1","1","1","1","","1","","","","","1","","1","","","","1","1","","","1","1","1","1","1","","1","1","","","","1","","1","1","1","1","","","","","","1","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Lighthouse Treatment Inc","The Lighthouse","320 North Wilshire Avenue","","Anaheim","CA","92801","","Orange","888-972-6212","https://lighthousetreatment.com","33.8347232","-117.93531","SU","1","","","","1","","1","1","1","","","","","","","1","","","1","","","1","1","","1","","","","1","","","","","1","1","1","","","","","","","","","","","","","","","","","","1","","","","","1","","","1","1","1","","","","","","1","1","1","1","1","1","","","1","1","1","1","1","1","1","1","","","","","","","1","1","1","1","1","1","1","1","1","1","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","1","","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","1","","1","","1","1","1","1","","","1","1","1","1","1","1","","","1","1","1","1","1","1","1","1","1","","","","","","1","","","","","","1","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Fred Browns Recovery Services Inc","Residential Facility","270, 276, and 278 West 14th Street","","San Pedro","CA","90731","4315","Los Angeles","310-519-8723","https://www.fredbrown.org","33.7317907","-118.2830283","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","1","1","1","","1","","","1","","1","1","","","","","","","","","","","","","","","","","","1","","1","","","1","","","","","1","","1","1","1","","1","","","","1","1","","","","1","","","","","1","","","","","1","1","","","","","","","1","1","1","","1","1","1","1","1","","","1","","","1","1","","1","","","1","","","1","","1","1","1","1","","","","1","","1","","1","","1","1","1","1","1","1","1","","1","","1","1","","1","1","1","1","1","","1","","1","1","1","1","1","","1","1","1","1","1","","","1","1","1","1","1","","","","","","","","","1","1","1","1","","1","","","","","","","1","","","1","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Fred Browns Recovery Services Inc","Residential Facility","270 West 14th Street","","San Pedro","CA","90731","4315","Los Angeles","310-519-8723","https://www.fredbrown.org","33.7317671","-118.2829049","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","1","1","1","","1","","","1","","1","1","","","","","","","","","","","","","","","","","","1","","1","","","1","","","","","1","","1","1","1","","1","","","","1","1","","","","1","","","","","1","","","","","1","1","","","","","","","1","1","1","","1","1","1","1","1","","","1","","","1","1","","1","","","1","","","1","","1","1","1","1","","","","1","","1","","1","","1","1","1","1","1","1","1","","1","","1","1","","1","1","1","1","1","","1","","1","1","1","1","1","","1","1","1","1","1","","","1","1","1","1","1","","","","","","","","","1","1","1","1","","1","","","","","","","1","","","1","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Fred Browns Recovery Services Inc","Residential Facility","276 West 14th Street","","San Pedro","CA","90731","4315","Los Angeles","310-519-8723","https://www.fredbrown.org","33.731672","-118.283012","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","1","1","1","","1","","","1","","1","1","","","","","","","","","","","","","","","","","","1","","1","","","1","","","","","1","","1","1","1","","1","","","","1","1","","","","1","","","","","1","","","","","1","1","","","","","","","1","1","1","","1","1","1","1","1","","","1","","","1","1","","1","","","1","","","1","","1","1","1","1","","","","1","","1","","1","","1","1","1","1","1","1","1","","1","","1","1","","1","1","1","1","1","","1","","1","1","1","1","1","","1","1","1","1","1","","","1","1","1","1","1","","","","","","","","","1","1","1","1","","1","","","","","","","1","","","1","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Lighthouse Treatment Inc","","1243 West Pearl Street","","Anaheim","CA","92801","","Orange","888-972-6212","https://lighthousetreatment.com","33.834702","-117.931009","SU","1","1","","","1","1","1","1","1","","","","","","","1","","","1","","","1","1","","1","","","1","","1","1","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","1","1","1","","","","","","1","1","1","1","1","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","1","","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","1","","1","","1","1","1","1","","","1","1","1","1","1","1","","","1","1","1","1","1","1","1","1","1","1","","","","","1","","","","","","1","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Anaheim Lighthouse","The Lighthouse","1340 Pearl Street","","Anaheim","CA","92801","","Orange","714-780-1174","https://anaheimlighthouse.com","33.8341406","-117.9315946","SU","1","1","","","1","1","1","1","1","","","","","","","1","","","1","","","1","1","","1","","","1","","1","1","1","","","","","","","","","","","","","","","","","1","","","","","1","","","","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","","","","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","1","","1","","","1","","","","","1","1","","","","1","1","1","1","1","","1","1","1","1","1","1","1","","","","","1","1","","","","","1","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Lighthouse Treatment Inc","The Lighthouse","1320, 1330 and 1340 West Pearl Street","","Anaheim","CA","92801","","Orange","888-972-6212","https://lighthousetreatment.com","33.8341321","-117.9315945","SU","1","1","","","1","1","1","1","1","","","","","","","1","","","1","","","1","1","","1","","","1","","1","1","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","1","1","1","","","","","","1","1","1","1","1","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","1","","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","1","","1","","1","1","1","1","","","1","1","1","1","1","1","","","1","1","1","1","1","1","1","1","1","1","","","","","1","","","","","","1","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Lighthouse Treatment Inc","","1330 West Pearl Street","","Anaheim","CA","92801","","Orange","888-972-6212","https://lighthousetreatment.com","33.8341395","-117.9313769","SU","1","1","","","1","1","1","1","1","","","","","","","1","","","1","","","1","1","","1","","","1","","1","1","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","1","1","1","","","","","","1","1","1","1","1","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","1","","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","1","","1","","1","1","1","1","","","1","1","1","1","1","1","","","1","1","1","1","1","1","1","1","1","1","","","","","1","","","","","","1","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Anaheim Lighthouse","","1320 West Pearl Street","","Anaheim","CA","92801","","Orange","714-780-1174","https://www.anaheimlighthouse.com","33.8341845","-117.9311636","SU","1","1","","","1","1","1","1","1","","","","","","","1","","","1","","","1","1","","1","","","1","","1","1","1","","","","","","","","","","","","","","","","","1","","","","","1","","","","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","","","","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","1","","1","","","1","","","","","1","1","","","","1","1","1","1","1","","1","1","1","1","1","1","1","","","","","1","1","","","","","1","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Lighthouse Treatment Inc","","1310 West Pearl Street","","Anaheim","CA","92801","","Orange","888-972-6212","https://lighthousetreatment.com","33.8342265","-117.9309632","SU","1","1","","","1","1","1","1","1","","","","","","","1","","","1","","","1","1","","1","","","1","","1","1","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","1","1","1","","","","","","1","1","1","1","1","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","1","","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","1","","1","","1","1","1","1","","","1","1","1","1","1","1","","","1","1","1","1","1","1","1","1","1","1","","","","","1","","","","","","1","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Anaheim Lighthouse","","1300 West Pearl Street","","Anaheim","CA","92801","","Orange","714-780-1174","https://anaheimlighthouse.com","33.8342348","-117.9307451","SU","1","1","","","1","1","1","1","1","","","","","","","1","","","1","","","1","1","","1","","","1","","1","1","1","","","","","","","","","","","","","","","","","1","","","","","1","","","","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","","","","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","1","","1","","","1","","","","","1","1","","","","1","1","1","1","1","","1","1","1","1","1","1","1","","","","","1","1","","","","","1","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Lighthouse Treatment Inc","","1243.5 West Pearl Street","","Anaheim","CA","92801","","Orange","888-972-6212","https://lighthousetreatment.com","33.8344957","-117.9292036","SU","1","1","","","1","1","1","1","1","","","","","","","1","","","1","","","1","1","","1","","","1","","1","1","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","1","1","1","","","","","","1","1","1","1","1","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","1","","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","1","","1","","1","1","1","1","","","1","1","1","1","1","1","","","1","1","1","1","1","1","1","1","1","1","","","","","1","","","","","","1","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Fred Browns Recovery Services Inc","Residential Facility","852 and 856 West 19th Street","","San Pedro","CA","90731","","Los Angeles","310-519-8723","https://www.fredbrown.org","33.7272118","-118.2959836","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","1","1","1","","1","","","1","","1","1","","","","","","","","","","","","","","","","","","1","","1","","","1","","","","","1","","1","1","1","","1","","","","1","1","","","","1","","","","","1","","","","","1","1","","","","","","","1","1","1","","1","1","1","1","1","","","1","","","1","1","","1","","","1","","","1","","1","1","1","1","","","","1","","1","","1","","1","1","1","1","1","1","1","","1","","1","1","","1","1","1","1","1","","1","","1","1","1","1","1","","1","1","1","1","1","","","1","1","1","1","1","","","","","","","","","1","1","1","1","","1","","","","","","","1","","","1","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Wel Mor Psychology Group Inc","","415 North State College Boulevard","Suite 224","Anaheim","CA","92806","","Orange","714-540-9070","https://www.welmortreatment.com","33.8446287","-117.889518","SU","1","","","","","","","","","","","","","","","1","","","1","","","1","1","","1","","","","1","","","","","","","1","1","","","","","","","","","","","","1","","","","","","","","","","1","1","","","1","","","1","","","","","","","","1","","1","","","","","","","","","","","","","","","","1","1","1","1","","1","1","1","1","","","1","","1","1","1","1","1","","","1","","","","","","1","1","1","","","","","","","","1","","","1","1","","","1","1","","","","","1","","1","","","1","1","","","","","","","","","1","","1","","1","","","","1","","","1","","","","","","","","1","","","1","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Orange County Healthcare Agency","Behavioral Health Services","222 South Harbor Boulevard","2nd Floor","Anaheim","CA","92805","","Orange","714-834-3840","https://www.ochealthinfo.com","33.8326499","-117.9185188","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","","1","1","","1","","","","1","","","","","1","","1","1","","","","","","","","","","1","","1","","1","","","","","","","","1","1","","","","","1","1","","1","1","","","","","","","","1","1","1","","1","","","","","","","","","","","1","1","1","1","","1","1","1","1","","","1","","","1","1","1","1","","","1","1","","1","1","","1","1","1","1","","","","1","","","1","","1","","1","","1","1","1","","1","","","1","","1","","","1","1","","1","","1","1","1","1","1","","","","1","1","1","","","1","1","1","1","1","","","","","","","","","1","1","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Foothill AIDS Project","","344 West 2nd Street","","San Bernardino","CA","92401","","San Bernardino","909-884-2722 x240","https://fapinfo.org","34.1029716","-117.2905715","SU","1","","","","","","","1","1","","","","","","","1","","","1","","1","1","1","1","","","","","1","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","1","1","1","1","1","1","1","1","","1","1","1","","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","1","1","1","1","","1","","1","1","1","","1","","1","1","1","1","1","","","1","","","","","1","1","","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","","1","","1","1","1","","1","","1","","","","","","1","","","1","","","1","","","","","","","1","","","","1","","","1","1","1","1","","","","1","","","1","","","","1","","","1","1","","","1","","","1","","","","1","","","","","","","","","","","","","","","","","",""
